"Presidential General Election Returns by County, National Summary (2000)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2000)","Dem. Votes","Dem. %","Rep. Candidate (2000)","Rep. Votes","Rep. %","Highest Other (2000)","Other Votes","Other %"
PA,MONROE,R,"Gore, Albert",21939,46.8,"Bush, George",23265,49.6,"Nader, Ralph",1319,2.8
PA,MONTGOMERY,D,"Gore, Albert",177990,53.5,"Bush, George",145623,43.8,"Nader, Ralph",6816,2.1
PA,MONTOUR,R,"Gore, Albert",2356,36.3,"Bush, George",3960,61,"Nader, Ralph",132,2
PA,NORTHAMPTON,D,"Gore, Albert",53097,50.7,"Bush, George",47396,45.3,"Nader, Ralph",3012,2.9
PA,NORTHUMBERLAND,R,"Gore, Albert",13670,41.1,"Bush, George",18142,54.6,"Nader, Ralph",956,2.9
PA,PERRY,R,"Gore, Albert",4459,27.7,"Bush, George",11184,69.6,"Nader, Ralph",309,1.9
PA,PHILADELPHIA,D,"Gore, Albert",449182,80,"Bush, George",100959,18,"Nader, Ralph",8206,1.5
PA,PIKE,R,"Gore, Albert",7330,42.2,"Bush, George",9339,53.8,"Nader, Ralph",498,2.9
PA,POTTER,R,"Gore, Albert",2037,28.7,"Bush, George",4858,68.5,"Nader, Ralph",146,2.1
PA,SCHUYLKILL,R,"Gore, Albert",26215,45,"Bush, George",29841,51.2,"Nader, Ralph",1713,2.9
PA,SNYDER,R,"Gore, Albert",3536,27.5,"Bush, George",8963,69.8,"Nader, Ralph",271,2.1
PA,SOMERSET,R,"Gore, Albert",12028,36.5,"Bush, George",20218,61.3,"Nader, Ralph",487,1.5
PA,SULLIVAN,R,"Gore, Albert",1066,34.3,"Bush, George",1928,62.1,"Nader, Ralph",91,2.9
PA,SUSQUEHANNA,R,"Gore, Albert",6481,37.5,"Bush, George",10226,59.2,"Nader, Ralph",459,2.7
PA,TIOGA,R,"Gore, Albert",4617,31.3,"Bush, George",9635,65.2,"Nader, Ralph",404,2.7
PA,UNION,R,"Gore, Albert",4209,31.9,"Bush, George",8523,64.7,"Nader, Ralph",373,2.8
PA,VENANGO,R,"Gore, Albert",8196,39.9,"Bush, George",11642,56.7,"Nader, Ralph",467,2.3
